"Name","Table Name","State","Data Category","Data Type","Description","Display Folder","Error Message","Format String","Is Hidden","Modified Time","Structure Modified Time","Sort by Column","Summarize By","Type","Expression"
"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","student_crs_hist","Ready","","Int64","","","","","True","12/21/2025 5:01:09 AM","12/21/2025 5:01:09 AM","","Default","",""
"APPID","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Count","",""
"ID_NUM","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"YR_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"TRM_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"STUD_SEQ_NUM","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"CRS_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"TRANSACTION_STS","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"REG_METHOD","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"REQUEST_NUM","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"SUBTERM_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CRS_DIV","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"STUD_DIV","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"INSTITUT_DIV_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"TRANSCRIPT_DIV","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"GRADE_SCALE_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CREDIT_TYPE_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"GRADE_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"REPEAT_FLAG","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"REPEAT_COUNT","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"PREVIOUS_GRADE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"GRADE_CHANGED_DTE","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"ABSENCES","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"CREDIT_HRS","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"TUITION_HRS","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"SHORT_CRS_TITLE_1","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"SHORT_CRS_TITLE_2","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CRS_TITLE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CRS_TITLE_2","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"ADD_FLAG","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"ADD_DTE","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"DROP_FLAG","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"DROP_DTE","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"WAITLIST_FLAG","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"WAITLIST_DTE","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"WAITLIST_TIM","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"WAITLIST_INVITATION_DATE","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"YR_TAKN_DESC_FUTR","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"TRM_TAKN_DESC_FUTR","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"ORG_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"ORIGINAL_REG_DTE","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"ORIGINAL_REG_TIM","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"IPEDS_CIP_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"X_LISTED_SECTION","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"THIRDPARTY_BILL_ID","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Count","",""
"ADV_REQ_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"DTL_SUM_REC_TYPE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"HRS_ATTEMPTED","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"HRS_EARNED","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"HRS_GPA","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"QUAL_PTS","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"SCHOOL_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"ELECTIVE_FLAG","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"TRM_TYPE_IDENT","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"PROC_FLG_AR_RFUNDS","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"WITHDRAWAL_DTE","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"LAST_DTE_OF_ATTEND","student_crs_hist","Ready","","DateTime","","","","General Date","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"MIDTRM_GRASCALE_CD","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"MIDTRM_CREDIT_TYP","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"MIDTERM_GRA_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"MIDTRM_HRS_ATTEMPT","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"MIDTRM_HRS_EARNED","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"MIDTRM_HRS_GPA","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"MIDTRM_QUAL_PTS","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"FACULTY_PTY","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"STUDENT_PTY","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"RANDOM_PTY","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"PROGRAM_FLAG","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"PROGRAM_NUM","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"STUDENT_POINTS","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"CRS_NOT_FND_ERR","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CRS_FULL_ERR","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CRS_TKN_ERR","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"TIME_CONFLICT_ERR","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"PREREQ_ERR","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
