"Name","Table Name","State","Data Category","Data Type","Description","Display Folder","Error Message","Format String","Is Hidden","Modified Time","Structure Modified Time","Sort by Column","Summarize By","Type","Expression"
"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","student_crs_hist","Ready","","Int64","","","","","True","12/21/2025 5:01:09 AM","12/21/2025 5:01:09 AM","","Default","",""
"ID_NUM","student_crs_hist","Ready","","Int64","Unique student identifier","","","0","True","12/29/2025 5:22:47 AM","12/21/2025 5:01:09 AM","","None","",""
"YR_CDE","student_crs_hist","Ready","","String","Academic year code","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","None","",""
"TRM_CDE","student_crs_hist","Ready","","String","Term code","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","None","",""
"CRS_CDE","student_crs_hist","Ready","","String","Course code/number","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","None","",""
"TRANSACTION_STS","student_crs_hist","Ready","","String","Registration status: P=Registered, D=Dropped","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","None","",""
"SUBTERM_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CRS_DIV","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"STUD_DIV","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"INSTITUT_DIV_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"TRANSCRIPT_DIV","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"GRADE_SCALE_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CREDIT_TYPE_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"GRADE_CDE","student_crs_hist","Ready","","String","Letter grade received","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","None","",""
"REPEAT_FLAG","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"REPEAT_COUNT","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"ABSENCES","student_crs_hist","Ready","","Int64","","","","0","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"CREDIT_HRS","student_crs_hist","Ready","","Double","Credit hours for the course","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","Sum","",""
"TUITION_HRS","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"CRS_TITLE","student_crs_hist","Ready","","String","Course title","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","None","",""
"ORG_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"IPEDS_CIP_CDE","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"HRS_ATTEMPTED","student_crs_hist","Ready","","Double","Hours attempted for GPA","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","Sum","",""
"HRS_EARNED","student_crs_hist","Ready","","Double","Hours earned upon completion","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","Sum","",""
"HRS_GPA","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"QUAL_PTS","student_crs_hist","Ready","","Double","Quality points earned","","","","True","12/22/2025 5:20:26 AM","12/21/2025 5:01:09 AM","","Sum","",""
"TRM_TYPE_IDENT","student_crs_hist","Ready","","String","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","None","",""
"CRS_CLOCK_HRS","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"GRADE_NUMERIC","student_crs_hist","Ready","","Double","","","","","True","12/21/2025 7:37:21 PM","12/21/2025 5:01:09 AM","","Sum","",""
"STUD_SEQ_NUM","student_crs_hist","Ready","","Int64","","","","0","False","12/22/2025 4:19:15 AM","12/22/2025 4:19:15 AM","","Sum","",""
